target_key	stage	target_embryo	gene	gene_index	endpoint	method	value
50p_E1_to_E2	50% epiboly	E2	foxc1a	138	spatial_pearson	hyperspatial_map_calibrated_fusion	0.5118699
50p_E1_to_E2	50% epiboly	E2	foxc1a	138	spatial_pearson	anchor_only_calibrated	0.5122817
50p_E1_to_E2	50% epiboly	E2	foxd3	140	spatial_pearson	registered_idw_k12	-0.04989995
50p_E1_to_E2	50% epiboly	E2	foxd3	140	spatial_pearson	hyperspatial_map_calibrated_fusion	0.67159194
50p_E1_to_E2	50% epiboly	E2	foxd3	140	spatial_pearson	anchor_only_calibrated	0.68882114
50p_E1_to_E2	50% epiboly	E2	foxh1	143	spatial_pearson	registered_idw_k12	0.69409376
50p_E1_to_E2	50% epiboly	E2	foxh1	143	spatial_pearson	hyperspatial_map_calibrated_fusion	0.8353539
50p_E1_to_E2	50% epiboly	E2	foxh1	143	spatial_pearson	anchor_only_calibrated	0.8179593
50p_E1_to_E2	50% epiboly	E2	frmd4ba	149	spatial_pearson	registered_idw_k12	0.38811973
50p_E1_to_E2	50% epiboly	E2	frmd4ba	149	spatial_pearson	hyperspatial_map_calibrated_fusion	0.7716895
50p_E1_to_E2	50% epiboly	E2	frmd4ba	149	spatial_pearson	anchor_only_calibrated	0.7716895
50p_E1_to_E2	50% epiboly	E2	fscn1a	150	spatial_pearson	registered_idw_k12	0.46106592
50p_E1_to_E2	50% epiboly	E2	fscn1a	150	spatial_pearson	hyperspatial_map_calibrated_fusion	0.82703257
50p_E1_to_E2	50% epiboly	E2	fscn1a	150	spatial_pearson	anchor_only_calibrated	0.7771023
50p_E1_to_E2	50% epiboly	E2	fzd7a	151	spatial_pearson	registered_idw_k12	0.40481326
50p_E1_to_E2	50% epiboly	E2	fzd7a	151	spatial_pearson	hyperspatial_map_calibrated_fusion	0.730699
50p_E1_to_E2	50% epiboly	E2	fzd7a	151	spatial_pearson	anchor_only_calibrated	0.7506747
50p_E1_to_E2	50% epiboly	E2	fzd7b	152	spatial_pearson	registered_idw_k12	0.14121576
50p_E1_to_E2	50% epiboly	E2	fzd7b	152	spatial_pearson	hyperspatial_map_calibrated_fusion	0.3119286
50p_E1_to_E2	50% epiboly	E2	fzd7b	152	spatial_pearson	anchor_only_calibrated	0.30687845
50p_E1_to_E2	50% epiboly	E2	fzd8a	153	spatial_pearson	registered_idw_k12	-0.18373759
50p_E1_to_E2	50% epiboly	E2	fzd8a	153	spatial_pearson	hyperspatial_map_calibrated_fusion	-0.10613058
50p_E1_to_E2	50% epiboly	E2	fzd8a	153	spatial_pearson	anchor_only_calibrated	0.33717763
50p_E1_to_E2	50% epiboly	E2	gapdh	155	spatial_pearson	registered_idw_k12	0.15848994
50p_E1_to_E2	50% epiboly	E2	gapdh	155	spatial_pearson	hyperspatial_map_calibrated_fusion	0.4763186
50p_E1_to_E2	50% epiboly	E2	gapdh	155	spatial_pearson	anchor_only_calibrated	0.46366405
50p_E1_to_E2	50% epiboly	E2	gata2a	156	spatial_pearson	registered_idw_k12	0.24617116
50p_E1_to_E2	50% epiboly	E2	gata2a	156	spatial_pearson	hyperspatial_map_calibrated_fusion	0.77803427
50p_E1_to_E2	50% epiboly	E2	gata2a	156	spatial_pearson	anchor_only_calibrated	0.7788221
50p_E1_to_E2	50% epiboly	E2	gata3	157	spatial_pearson	registered_idw_k12	0.15861745
50p_E1_to_E2	50% epiboly	E2	gata3	157	spatial_pearson	hyperspatial_map_calibrated_fusion	0.2829053
50p_E1_to_E2	50% epiboly	E2	gata3	157	spatial_pearson	anchor_only_calibrated	0.27960795
50p_E1_to_E2	50% epiboly	E2	gata6	159	spatial_pearson	registered_idw_k12	0.6679089
50p_E1_to_E2	50% epiboly	E2	gata6	159	spatial_pearson	hyperspatial_map_calibrated_fusion	0.88653404
50p_E1_to_E2	50% epiboly	E2	gata6	159	spatial_pearson	anchor_only_calibrated	0.88653404
50p_E1_to_E2	50% epiboly	E2	gbx1	160	spatial_pearson	registered_idw_k12	0.362722
50p_E1_to_E2	50% epiboly	E2	gbx1	160	spatial_pearson	hyperspatial_map_calibrated_fusion	0.5989077
50p_E1_to_E2	50% epiboly	E2	gbx1	160	spatial_pearson	anchor_only_calibrated	0.6024571
50p_E1_to_E2	50% epiboly	E2	gfi1aa	162	spatial_pearson	registered_idw_k12	0.186312
50p_E1_to_E2	50% epiboly	E2	gfi1aa	162	spatial_pearson	hyperspatial_map_calibrated_fusion	0.3670424
50p_E1_to_E2	50% epiboly	E2	gfi1aa	162	spatial_pearson	anchor_only_calibrated	0.3803546
50p_E1_to_E2	50% epiboly	E2	gmnn	165	spatial_pearson	registered_idw_k12	0.3208491
50p_E1_to_E2	50% epiboly	E2	gmnn	165	spatial_pearson	hyperspatial_map_calibrated_fusion	0.5741139
50p_E1_to_E2	50% epiboly	E2	gmnn	165	spatial_pearson	anchor_only_calibrated	0.57873523
50p_E1_to_E2	50% epiboly	E2	gpr137bb	166	spatial_pearson	registered_idw_k12	-0.114988394
50p_E1_to_E2	50% epiboly	E2	gpr137bb	166	spatial_pearson	hyperspatial_map_calibrated_fusion	-0.01226975
50p_E1_to_E2	50% epiboly	E2	gpr137bb	166	spatial_pearson	anchor_only_calibrated	-0.01918049
50p_E1_to_E2	50% epiboly	E2	gsc	169	spatial_pearson	registered_idw_k12	0.11248157
50p_E1_to_E2	50% epiboly	E2	gsc	169	spatial_pearson	hyperspatial_map_calibrated_fusion	0.3916677
50p_E1_to_E2	50% epiboly	E2	gsc	169	spatial_pearson	anchor_only_calibrated	0.4119439
50p_E1_to_E2	50% epiboly	E2	hdlbpa	171	spatial_pearson	registered_idw_k12	0.36948255
50p_E1_to_E2	50% epiboly	E2	hdlbpa	171	spatial_pearson	hyperspatial_map_calibrated_fusion	0.36993542
50p_E1_to_E2	50% epiboly	E2	hdlbpa	171	spatial_pearson	anchor_only_calibrated	0.36082122
50p_E1_to_E2	50% epiboly	E2	her1	174	spatial_pearson	registered_idw_k12	0.43898904
50p_E1_to_E2	50% epiboly	E2	her1	174	spatial_pearson	hyperspatial_map_calibrated_fusion	0.58502454
50p_E1_to_E2	50% epiboly	E2	her1	174	spatial_pearson	anchor_only_calibrated	0.57532525
50p_E1_to_E2	50% epiboly	E2	her7	181	spatial_pearson	registered_idw_k12	0.17473666
50p_E1_to_E2	50% epiboly	E2	her7	181	spatial_pearson	hyperspatial_map_calibrated_fusion	0.3735632
50p_E1_to_E2	50% epiboly	E2	her7	181	spatial_pearson	anchor_only_calibrated	0.394106
50p_E1_to_E2	50% epiboly	E2	her8a	182	spatial_pearson	registered_idw_k12	0.22507489
50p_E1_to_E2	50% epiboly	E2	her8a	182	spatial_pearson	hyperspatial_map_calibrated_fusion	0.3585739
50p_E1_to_E2	50% epiboly	E2	her8a	182	spatial_pearson	anchor_only_calibrated	0.3489358
50p_E1_to_E2	50% epiboly	E2	higd1a	187	spatial_pearson	registered_idw_k12	0.086855344
50p_E1_to_E2	50% epiboly	E2	higd1a	187	spatial_pearson	hyperspatial_map_calibrated_fusion	0.26181638
50p_E1_to_E2	50% epiboly	E2	higd1a	187	spatial_pearson	anchor_only_calibrated	0.26181638
50p_E1_to_E2	50% epiboly	E2	hivep2a	188	spatial_pearson	registered_idw_k12	0.16615492
50p_E1_to_E2	50% epiboly	E2	hivep2a	188	spatial_pearson	hyperspatial_map_calibrated_fusion	0.39326847
50p_E1_to_E2	50% epiboly	E2	hivep2a	188	spatial_pearson	anchor_only_calibrated	0.38544676
50p_E1_to_E2	50% epiboly	E2	hoxb7a	190	spatial_pearson	registered_idw_k12	0.16882674
50p_E1_to_E2	50% epiboly	E2	hoxb7a	190	spatial_pearson	hyperspatial_map_calibrated_fusion	0.37141868
50p_E1_to_E2	50% epiboly	E2	hoxb7a	190	spatial_pearson	anchor_only_calibrated	0.37141868
50p_E1_to_E2	50% epiboly	E2	hoxc3a	193	spatial_pearson	registered_idw_k12	0.161444
50p_E1_to_E2	50% epiboly	E2	hoxc3a	193	spatial_pearson	hyperspatial_map_calibrated_fusion	0.3642653
50p_E1_to_E2	50% epiboly	E2	hoxc3a	193	spatial_pearson	anchor_only_calibrated	0.37588564
50p_E1_to_E2	50% epiboly	E2	id3	197	spatial_pearson	registered_idw_k12	0.14111507
