extension	setting	stage	source_embryo	direction	frozen_ridge	frozen_gain	anchor_rank	anchor_gene	anchor_gene_index	utility_median_residual_pearson	mse_improvement_median	fraction_genes_helped	genes_evaluated	top_supported_genes
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	14	six4b	391	6.242970831249472e-05	-1.259912102491434e-05	0.5198329853862212	479	tbx1,six3b,id3,uncx4.1,ripply1,lima1a,cdx4,her5,irx1b,twist1a
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	15	crabp2b	70	0.0006149175168462806	0.00017035331846870783	0.5908141962421712	479	prickle1b,wnt11f2,tph1b,dmd,lhx5,arl4ab,tcf7l1b,noto,si:dkey-261m9.12,aldob
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	16	zic3	488	0.0007493220774875686	0.0001418704322193043	0.5824634655532359	479	skia,zic2a,cdx1a,fzd7a,dld,irx1b,tbxta,meis3,chrd,cdx4
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	10.0	1.0	1	add3b	2	0.0017269288804029337	0.0004433305634395923	0.651356993736952	479	tgif1,vrtn,sox11b,anp32e,tuba8l4,tuba1a,rbbp4,tcf3b,ctcf,notch1a
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	10.0	1.0	2	flrt3	128	0.0011780960033572763	0.00030461617502861027	0.6764091858037579	479	prickle1b,lft1,nog1,rab11fip4a,zswim5,ntd5,zfand5a,twist2,foxa2,nr6a1a
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	10.0	1.0	3	tfap2a	440	0.0007127374096192185	0.00017049754012044005	0.615866388308977	479	klf2b,dlx3b,gata2a,msx1b,tfap2c,tead1a,admp,klf2a,fezf2,msx3
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	10.0	1.0	4	znf185	491	0.0010102377687540298	0.00021807316806027321	0.6346555323590815	479	krt8,perp,eppk1,krt18a.1,krt4,grhl1,krt99,nanos3,tagln2,epcam
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	10.0	1.0	5	otx2b	305	0.00012470919315277218	3.408320112785468e-05	0.5260960334029228	479	otx1,fzd8a,six7,otx2a,mych,lratb.1,gbx1,hoxb1b,fezf2,lhx5
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	10.0	1.0	6	sox32	410	0.00023193076621252917	2.6445699961144542e-05	0.5386221294363257	479	gata6,sox17,gata5,foxa3,lamp2,vent,znf1004,atp2b1a,smtnl,klf3
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	10.0	1.0	7	bmp4	34	0.0002942978542102015	7.111128828213298e-05	0.592901878914405	479	szl,bambia,apoc1,PCDH8,her9,si:ch211-163l21.7,lft1,rbm4.3,msx3,her3
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	10.0	1.0	8	pcdh10b	312	0.0003044887184459749	7.269830219619466e-05	0.5594989561586639	479	id3,six4b,tbx1,tuba8l2,dkk1b,lhx1a,btg2,kirrel3l,foxa,rnd1b
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	10.0	1.0	9	lmo4a	241	-7.63921780322363e-05	-4.932582311889533e-05	0.48643006263048016	479	hoxb1b,foxb1b,zeb2b,sp8b,ca9,nrarpa,gbx1,rasgef1ba,eve1,cxcr4a
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	10.0	1.0	10	crabp2b	70	0.00161751096174223	0.000431025664177187	0.6471816283924844	479	tph1b,noto,arl4ab,tbxtb,epha2a,prickle1b,cdx4,irx7,tbxta,dbx1a
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	10.0	1.0	11	rrbp1b	360	0.0020035250197083243	0.00047879553161117583	0.6638830897703549	479	tram1,hdlbpa,ndr2,elavl3,bach1b,gsc,shha,lft2,cd63,xbp1
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	10.0	1.0	12	six4a	390	0.0004211428351720281	0.00010572926699403684	0.5741127348643006	479	msgn1,tbx16l,fn1b,her1,dld,sox5,foxc1a,efemp2b,mespab,wnt8a
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	10.0	1.0	13	si:dkey-108k21.14	382	0.0008430839718558403	0.00026764698140097076	0.6263048016701461	479	si:dkey-261m9.12,si:ch211-113a14.12,nr2f2,her2,dynll2b,skila,nkx2.5,akap12b,ccne2,kmt2bb
