extension	setting	stage	source_embryo	direction	frozen_ridge	frozen_gain	anchor_a	anchor_b_conditioned	anchor_a_rank	anchor_b_rank	conditional_utility_median_residual_pearson	conditional_mse_improvement_median	fraction_genes_helped_conditionally	genes_evaluated	interpretation
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	cxcr4a	dact2	6	7	0.00312403985150278	0.000605738064085426	0.7682672233820459	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	cxcr4a	bmp7a	6	8	0.005629901186523595	0.0011244507269069781	0.7891440501043842	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	cxcr4a	efnb2a	6	9	0.003132510426375079	0.0005820575178567267	0.7620041753653445	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	cxcr4a	foxd5	6	10	0.004417987298811918	0.0008332553016761612	0.7661795407098121	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	cxcr4a	ppp1r7	6	11	0.003251935015531948	0.0005940985011246291	0.7724425887265136	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	cxcr4a	cfl1l	6	12	0.0038212098999832467	0.0006944698336707189	0.791231732776618	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	cxcr4a	cdx4	6	13	0.0030530585787584275	0.0005895943794430036	0.7682672233820459	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	cxcr4a	hoxb1b	6	14	0.003122544507621422	0.0005854908431424111	0.7703549060542797	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	cxcr4a	sox10	6	15	0.0031492497880048487	0.0005904032109703694	0.7745302713987474	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	cxcr4a	foxg1a	6	16	0.0031072636499536177	0.0005800793188053821	0.7703549060542797	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	dact2	klf2a	7	1	0.000989902499359041	0.0001571440338727359	0.6430062630480167	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	dact2	gata5	7	2	0.0007191201890940913	0.00010522881029967346	0.6096033402922756	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	dact2	perp	7	3	0.0013818325875740722	0.00020710780518606864	0.6576200417536534	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	dact2	mdm2	7	4	0.0008307999118795095	0.00011682442301011453	0.6200417536534447	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	dact2	tfap2c	7	5	0.0005597417901786611	7.945119797309053e-05	0.5824634655532359	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	dact2	cxcr4a	7	6	0.0009435548242606173	0.0001555291476588727	0.615866388308977	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	dact2	bmp7a	7	8	0.0008188187705369665	0.00011795517467677596	0.6179540709812108	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	dact2	efnb2a	7	9	0.0013488653986966637	0.00021575573665433279	0.6555323590814196	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	dact2	foxd5	7	10	0.0009344877653057471	0.0001499638817234472	0.6283924843423799	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	dact2	ppp1r7	7	11	0.0008339649190705067	0.00012975479166277282	0.6200417536534447	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	dact2	cfl1l	7	12	0.0008647766054745709	0.00011715843006895876	0.6221294363256785	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	dact2	cdx4	7	13	0.0008947172038121787	0.0001507581309785344	0.6346555323590815	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	dact2	hoxb1b	7	14	0.0008431958561134767	0.00012844694510480426	0.6179540709812108	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	dact2	sox10	7	15	0.0008597506760377738	0.00012592385389431637	0.6242171189979123	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	dact2	foxg1a	7	16	0.0008580417385667394	0.00012632585750166347	0.6242171189979123	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	bmp7a	klf2a	8	1	0.003873116337869631	0.0007749935463784441	0.7599164926931107	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	bmp7a	gata5	8	2	0.0029531607333442844	0.0006595290460161378	0.7494780793319415	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	bmp7a	perp	8	3	0.003376947218470927	0.0005903445595941692	0.7265135699373695	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	bmp7a	mdm2	8	4	0.0037968331016353107	0.0007892103527218364	0.7599164926931107	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	bmp7a	tfap2c	8	5	0.002817235885836933	0.0005379277502317037	0.7348643006263048	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	bmp7a	cxcr4a	8	6	0.005217480995314383	0.0009648037047338409	0.7745302713987474	479	lower conditional utility indicates greater substitution/redundancy
