fold	cohort	method	cells	ancestors	genes	rho_future_pooled	rho_future_macro	rho_future_median	final_pearson_macro	final_spearman_macro	rmse	normalized_rmse	moran_error	original_rho_future_pooled	residual_pearson_status	table	estimate	ci95_low	ci95_high	bootstrap_unit	replicates	original_estimate	status	observed	null_mean	null_ci_low	null_ci_high	empirical_p	permutations	ancestor_count	descendant_count	division_fraction	median_path_length	eligible	guard_stability_fraction	prediction_sha256	remaining_ancestors	remaining_descendants	removed_fraction	rho_future_disjoint	rho_future_full	rho_future_shared	gene	future_residual_pearson	final_pearson	final_spearman
A		B1_lineage_registered_idw									0.9557363390922546					per_gene																											cdh6	0.16880602	0.12572698	0.1227110462699975
A		B1_lineage_registered_idw									0.9950586557388306					per_gene																											cdkn1ca	0.10334669	-0.023908721	0.0008987477254062
A		B1_lineage_registered_idw									0.8597976565361023					per_gene																											cdt1	-0.05544769	-0.060943943	-0.0663904838681988
A		B1_lineage_registered_idw									1.3075802326202393					per_gene																											cdx1a	-0.04198701	-0.05036396	-0.0461702611021771
A		B1_lineage_registered_idw									2.662362813949585					per_gene																											cdx4	0.0017485433	0.10533182	0.0268599900529361
A		B1_lineage_registered_idw									0.5812427401542664					per_gene																											cenpf	0.06086314	0.14732106	0.1526661304240602
A		B1_lineage_registered_idw									0.676236629486084					per_gene																											cfl1l	0.017857477	0.024234006	0.0216545101378925
A		B1_lineage_registered_idw									0.963573694229126					per_gene																											chaf1a	0.1548672	0.047794476	0.0365837077553607
A		B1_lineage_registered_idw									1.095590114593506					per_gene																											chst11	0.12050526	0.052675463	0.0562804997131718
A		B1_lineage_registered_idw									2.701149702072144					per_gene																											cldnd	-0.08440504	-0.074079834	-0.0504067113735707
A		B1_lineage_registered_idw									0.8188742399215698					per_gene																											clic4	0.02316769	0.20335081	0.2249970799475415
A		B1_lineage_registered_idw									0.7720339298248291					per_gene																											clocka	0.018623894	0.019292878	0.0281848831250299
A		B1_lineage_registered_idw									0.8785361647605896					per_gene																											cmtm6	-0.056634456	-0.07468311	-0.0644529224807636
A		B1_lineage_registered_idw									0.748354434967041					per_gene																											cnmd	0.13273706	-0.00045140524	-0.0007150175913555
A		B1_lineage_registered_idw									0.7829006910324097					per_gene																											cnn3a	0.033148546	0.014419768	0.0101621910637436
A		B1_lineage_registered_idw									0.7943188548088074					per_gene																											coq10b	0.09943221	0.016478011	0.0138028470533231
A		B1_lineage_registered_idw									1.7493665218353271					per_gene																											crabp2b	0.1156029	0.43696523	0.4797570711224626
A		B1_lineage_registered_idw									0.9492486119270324					per_gene																											creb3l1	0.011549522	0.02282651	0.0209119738721454
A		B1_lineage_registered_idw									0.8958140015602112					per_gene																											creb3l2	-0.111074574	-0.077243246	-0.0583259633827601
A		B1_lineage_registered_idw									1.3222160339355469					per_gene																											csrp1a	0.027457856	-0.011938095	-0.010234158160839
A		B1_lineage_registered_idw									0.8618192672729492					per_gene																											cst3	0.07067917	0.07859378	0.0777128759708606
A		B1_lineage_registered_idw									0.6592545509338379					per_gene																											ctcf	0.15494741	0.22184972	0.2178017555073437
A		B1_lineage_registered_idw									2.564075469970703					per_gene																											cth1	0.0044698548	0.11534416	0.0756286692492929
A		B1_lineage_registered_idw									0.8096423745155334					per_gene																											CU570769.1	0.07831377	-0.01731974	-0.0170069474700838
A		B1_lineage_registered_idw									0.8952435255050659					per_gene																											cux1a	-0.005785859	0.0016778334	-0.0017601292720554
A		B1_lineage_registered_idw									0.7462244629859924					per_gene																											cxcl12b	0.0	0.041784562	0.0414525146720672
A		B1_lineage_registered_idw									1.6853806972503662					per_gene																											cxcr4a	0.0903333	0.19379969	0.206399411279484
A		B1_lineage_registered_idw									1.308620810508728					per_gene																											dact2	-0.09590907	0.3076604	0.3304754954319768
A		B1_lineage_registered_idw									0.848570704460144					per_gene																											dand5	0.057767343	-0.0146998	-0.020055025776842
A		B1_lineage_registered_idw									0.9033031463623048					per_gene																											dbx1a	-0.037593022	-0.053655323	-0.0530348304457352
A		B1_lineage_registered_idw									1.391934156417847					per_gene																											ddx4	0.113831736	0.39676368	0.4327287698062001
A		B1_lineage_registered_idw									0.7866808176040649					per_gene																											dharma	-0.053199705	-0.020094035	-0.0174238322280096
A		B1_lineage_registered_idw									0.2721958756446838					per_gene																											dkc1	0.14077443	0.3664975	0.384081936027853
A		B1_lineage_registered_idw									0.7464823126792908					per_gene																											dkk1b	0.009868535	0.19897416	0.1434065337792041
A		B1_lineage_registered_idw									1.741752862930298					per_gene																											dld	0.47763982	0.54789925	0.5342853944664472
A		B1_lineage_registered_idw									0.3267510235309601					per_gene																											dlgap5	0.15058681	0.2095527	0.2315821713073585
A		B1_lineage_registered_idw									1.7596638202667236					per_gene																											dlx3b	0.14955944	0.22272725	0.2231611284954179
A		B1_lineage_registered_idw									0.5851834416389465					per_gene																											dmd	0.028261574	0.13862376	0.1238072128360389
A		B1_lineage_registered_idw									1.5583003759384155					per_gene																											drll.2	-0.30121353	0.05966656	0.0092522463146936
A		B1_lineage_registered_idw									1.352297306060791					per_gene																											drll.3	-0.19587271	-0.11483082	-0.1286253408944634
