target_key	stage	annotation	class	n_cells	cell_fraction	median_absolute_truth_residual	median_within_class_truth_residual_variance	hyperspatial_map_calibrated_fusion__median_within_class_residual_pearson	hyperspatial_map_calibrated_fusion__genes_with_positive_within_class_recovery	anchor_only_calibrated__median_within_class_residual_pearson	anchor_only_calibrated__genes_with_positive_within_class_recovery	atlas_plus_global_anchor_residual__median_within_class_residual_pearson	atlas_plus_global_anchor_residual__genes_with_positive_within_class_recovery	atlas_plus_local_anchor_residual__median_within_class_residual_pearson	atlas_plus_local_anchor_residual__genes_with_positive_within_class_recovery	n_genes	primary_method
6s_E1_to_E2	6-somite	clusters	Tailbud - ventral peripheral	437	0.016899992265449765	0.399831622838974	0.3017578423023224	0.504819393157959	440	0.5360218286514282	441	0.32081541419029236	425	0.330864280462265	417	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	Telencephalon Dorsal	514	0.01987779410627272	0.36346060037612915	0.26973438262939453	0.366036593914032	437	0.37441760301589966	440	0.1741398274898529	405	0.18283620476722717	399	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	Ventral LPM	256	0.00990022430195684	0.41376206278800964	0.3378868103027344	0.490570604801178	439	0.5134589672088623	441	0.29075148701667786	428	0.2862929403781891	418	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	YSL	278	0.010751024827906257	0.5421046018600464	0.5154587626457214	0.5322145223617554	440	0.5634472966194153	441	0.33113300800323486	426	0.2964062988758087	423	441	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	germlayer	Ectoderm	10999	0.4893882091212458	0.39790353178977966	0.40341687202453613	0.3946511149406433	413	0.41857242584228516	414	0.28990161418914795	413	0.2679305970668793	411	414	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	germlayer	Endoderm	370	0.01646273637374861	0.5184264183044434	0.5911852121353149	0.35229337215423584	412	0.37357690930366516	412	0.2543932795524597	410	0.23050019145011902	405	414	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	germlayer	Extraembryonic	2057	0.09152391546162403	0.38688433170318604	0.39674943685531616	0.4643833041191101	413	0.47217828035354614	414	0.3410107493400574	413	0.32564932107925415	412	414	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	germlayer	Mesoderm	9018	0.40124582869855396	0.4117041230201721	0.3934904932975769	0.4575997292995453	414	0.4800581932067871	414	0.3383640646934509	413	0.3233667016029358	413	414	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	germlayer	PGC	31	0.001379310344827586	0.44188380241394043	0.3039742112159729	0.41060590744018555	384	0.43600994348526	397	0.2785465717315674	355	0.25932449102401733	344	414	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	type	Axial Mesoderm	983	0.043737486095661846	0.428872287273407	0.3967474699020386	0.47497737407684326	411	0.4796476364135742	411	0.3591257929801941	402	0.3495611846446991	393	414	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	type	Endoderm	370	0.01646273637374861	0.5184264183044434	0.5911852121353149	0.35229337215423584	412	0.37357690930366516	412	0.2543932795524597	410	0.23050019145011902	405	414	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	type	Extraembryonic	2057	0.09152391546162403	0.38688433170318604	0.39674943685531616	0.4643833041191101	413	0.47217828035354614	414	0.3410107493400574	413	0.32564932107925415	412	414	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	type	Head Mesoderm	859	0.0382202447163515	0.4247449040412903	0.3788895010948181	0.39894112944602966	413	0.43750691413879395	413	0.2761584222316742	402	0.2469240128993988	393	414	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	type	Lateral Plate Mesoderm	1925	0.08565072302558398	0.40115243196487427	0.35010671615600586	0.3906206488609314	411	0.41328710317611694	414	0.2698926031589508	411	0.2426285743713379	403	414	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	type	Neural Ectoderm	7418	0.330055617352614	0.38426393270492554	0.3710392713546753	0.3968570828437805	414	0.4156961441040039	414	0.26821309328079224	412	0.25866714119911194	410	414	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	type	Non-neural Ectoderm	3048	0.13561735261401558	0.4273417592048645	0.43779247999191284	0.3896276354789734	411	0.42125803232192993	414	0.26698988676071167	410	0.24228447675704956	399	414	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	type	PGC	31	0.001379310344827586	0.44188380241394043	0.3039742112159729	0.41060590744018555	384	0.43600994348526	397	0.2785465717315674	355	0.25932449102401733	344	414	hyperspatial_map_calibrated_fusion
