panel,target_key,stage,gene,n_null,observed_residual_variance,nb_null_median,nb_null_q95,observed_exceeds_nb_q95,fraction_observed_variance_above_nb_median,plotted_value,observed_moran_i,annotation,n_records,fraction_above_q95
S6j,75p_E1_to_E2,75% epiboly,tuba8l4,500.0,,0.0005537354,0.005204388941638168,True,,19.758629394896456,0.10283159232472597,,,
S6j,75p_E1_to_E2,75% epiboly,tubb2b,500.0,,0.0023916822,0.008089189510792493,True,,34.262879800761105,0.2771589278938607,,,
S6j,75p_E1_to_E2,75% epiboly,twist1a,500.0,,0.033513657999999995,0.04260946195572615,True,,2.412129214338689,0.10277952799066,,,
S6j,75p_E1_to_E2,75% epiboly,twist2,500.0,,0.047622234000000006,0.058589919656515124,True,,9.431024369696418,0.5525629600991493,,,
S6j,75p_E1_to_E2,75% epiboly,ube2c,500.0,,0.0033400584999999997,0.008629511715844269,True,,7.272643847411215,0.06275936528639782,,,
S6j,75p_E1_to_E2,75% epiboly,uhrf1,500.0,,0.0009843223,0.005655051791109144,True,,15.677059334908233,0.08865458247119712,,,
S6j,75p_E1_to_E2,75% epiboly,unc5b,500.0,,0.0029922002,0.00787138263694942,True,,26.206484469183685,0.20628126682621709,,,
S6j,75p_E1_to_E2,75% epiboly,uncx4.1,500.0,,0.04517343,0.05286971423774955,True,,4.39867958512927,0.2325569326892072,,,
S6j,75p_E1_to_E2,75% epiboly,unga,500.0,,0.0049860077000000004,0.0105199231300503,True,,9.745790976669616,0.1025249719161022,,,
S6j,75p_E1_to_E2,75% epiboly,usf1,500.0,,0.004319925,0.008872661041095848,True,,9.998755827286356,0.08871557128819373,,,
S6j,75p_E1_to_E2,75% epiboly,vent,500.0,,0.038264632,0.045733686350286,True,,3.9123968686455175,0.17892833126847518,,,
S6j,75p_E1_to_E2,75% epiboly,vgll4l,500.0,,0.019814335,0.026134901214390983,True,,8.581603148064884,0.2242793505357824,,,
S6j,75p_E1_to_E2,75% epiboly,vox,500.0,,0.0072826548,0.012593040382489559,True,,10.972505009923651,0.13817719868703754,,,
S6j,75p_E1_to_E2,75% epiboly,vrtn,500.0,,0.0010886206,0.006025099568068979,True,,26.47114804221498,0.15949130263543948,,,
S6j,75p_E1_to_E2,75% epiboly,vsx2,500.0,,0.011776932,0.0169564657844603,True,,7.6690228545817805,0.13003952363396,,,
S6j,75p_E1_to_E2,75% epiboly,wnt11f2,500.0,,0.0025224076,0.007361207902431488,True,,31.538050073610766,0.23215814342914354,,,
S6j,75p_E1_to_E2,75% epiboly,wnt8a,500.0,,0.0032848073,0.00785231264308095,True,,22.15908569941327,0.1740000687966171,,,
S6j,75p_E1_to_E2,75% epiboly,xbp1,500.0,,0.0011939850999999999,0.005893976660445332,True,,63.156780031462844,0.37224458745432176,,,
S6j,75p_E1_to_E2,75% epiboly,ypel3,500.0,,0.004089972,0.009399973461404443,True,,17.181268655971643,0.16150346939939342,,,
S6j,75p_E1_to_E2,75% epiboly,zbtb18,500.0,,0.0045786207,0.009632567735388876,True,,11.358106554946321,0.10940773073628483,,,
S6j,75p_E1_to_E2,75% epiboly,zc4h2,500.0,,0.003390497,0.007967829192057251,True,,19.096563133443276,0.15215815320261364,,,
S6j,75p_E1_to_E2,75% epiboly,zeb1a,500.0,,0.0028424307,0.008150293072685598,True,,21.36880157566759,0.17416199545375666,,,
S6j,75p_E1_to_E2,75% epiboly,zeb1b,500.0,,0.005766945999999999,0.010662317648530008,True,,13.768895097939602,0.14680833320351974,,,
S6j,75p_E1_to_E2,75% epiboly,zeb2a,500.0,,0.0048126886,0.01007700841873884,True,,9.505409178337613,0.09578608831366557,,,
S6j,75p_E1_to_E2,75% epiboly,zeb2b,500.0,,0.007882617,0.014028431847691534,True,,21.0636240059756,0.2954896138332281,,,
S6j,75p_E1_to_E2,75% epiboly,zfand5a,500.0,,0.0033021671999999996,0.008201931649819015,True,,9.798108685456619,0.08036341773561323,,,
S6j,75p_E1_to_E2,75% epiboly,zgc:113372,500.0,,0.007235318399999999,0.013674326660111544,True,,7.691752943730946,0.10517954234145152,,,
