record_type	fold	train_embryo	test_embryo	cohort	method	method_label	gene	genes	cells	ancestor_families	descendant_cells	rho_future_pooled_frozen_raw	rho_future_pooled	future_residual_status	rho_future_macro	rho_future_median	final_pearson_macro	final_spearman_macro	rmse	normalized_rmse	moran_error	domain_gene_count	median_domain_dice	family_bootstrap_estimate	family_bootstrap_ci95_low	family_bootstrap_ci95_high	bootstrap_unit	family_bootstrap_replicates	trajectory_free_gene_rho	trajectory_aware_gene_rho	trajectory_delta_future_residual_pearson	trajectory_improved	evaluation_unit	confirmatory_non_anchor
gene_trajectory_comparison	A	E1	E2	full			arl4aa																						0.15795638	0.17478843	0.016832049999999987	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			arl4ab																						0.5689705	0.54456484	-0.024405659999999996	False	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			arl4d																						0.06904552	0.48931178	0.42026626	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			arl6ip5a																						0.06700008	0.23011987	0.16311979	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			aspm																						0.1643043	0.17448655	0.010182250000000004	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			atf6																						0.18016295	0.2052813	0.02511835000000001	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			atoh1c																						-0.0064743324	0.08920073	0.09567506240000001	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			atp2b1a																						0.08690973	0.11367983	0.02677009999999999	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			atrxl																						0.24366337	0.20234662	-0.041316749999999985	False	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			aurkb																						0.19177401	0.19560204	0.00382803000000001	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			axin2																						0.06795537	0.2549072	0.18695182999999999	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			bach1b																						0.0196916	0.09218175	0.07249015	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			bambia																						-0.63694453	0.86582035	1.50276488	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			baz1b																						0.24176235	0.2683408	0.026578450000000003	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			bcl2l1																						0.0	0.08115172	0.08115172	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			bhlha15																						0.10634173	0.18922782	0.08288609	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			blf																						0.30016524	0.22816473	-0.07200050999999999	False	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			bmp2b																						-0.5151581000000001	0.20801282	0.72317092	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			bmp4																						-0.42445347	0.82382995	1.24828342	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			bmp7a																						-0.5703201	0.73273474	1.3030548400000002	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			brd2a																						-0.022949735	0.10269026	0.125639995	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			btg2																						0.38892382	0.4906149	0.10169108000000004	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			c1qbp																						0.19617425	0.22813386	0.03195961	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			C7H16orf87																						0.0	0.0	0.0	False	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			ca9																						0.4249385	0.48317209999999994	0.05823359999999994	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			casz1																						0.005760021	0.031787094	0.026027073	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			cbx3a																						0.021079024	0.032150473	0.011071449	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			cbx5																						0.23109238	0.30644545	0.07535307000000002	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			ccne2																						0.08617000000000001	0.07296391599999999	-0.01320608400000002	False	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			ccnf																						0.25882310000000003	0.17501424	-0.08380886000000004	False	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			ccng1																						0.33607525	0.34599912	0.009923870000000001	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			cd63																						0.09037122	0.063831635	-0.026539585000000004	False	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			cdc14b																						0.25041923	0.2465038	-0.0039154299999999975	False	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			cdca8																						0.13853614	0.112653054	-0.025883086	False	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			cdh1																						0.22558267	0.40836963	0.18278695999999997	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			cdh2																						0.35796744	0.425807	0.06783955999999997	True	gene_within_directional_target_embryo	True
